Category,Scope of Work,Checklist,Sector
Pre-Award,04 22 00 Concrete Unit Masonry,Establish schedule and sequence.,General
Pre-Award,04 22 00 Concrete Unit Masonry,Expansion and control joints laid out and installed as specific with proper accessories.,General
Pre-Award,04 22 00 Concrete Unit Masonry,"Expedite shafts, telephone rooms and elevator machine rooms to permit early access for other trades.",General
Pre-Award,04 22 00 Concrete Unit Masonry,f. Who digs hole for deadman?,General
Pre-Award,04 22 00 Concrete Unit Masonry,Face and ends of face brick uniformly true and free of chips and spalls.,General
Pre-Award,04 22 00 Concrete Unit Masonry,"Final cleaning, when completed, protect finished materials.",General
Pre-Award,04 22 00 Concrete Unit Masonry,Furnish and cast-in handling anchors.,General
Pre-Award,04 22 00 Concrete Unit Masonry,Grout.,General
Pre-Award,04 22 00 Concrete Unit Masonry,Have you laid this type of unit before? - Where?,General
Pre-Award,04 22 00 Concrete Unit Masonry,Hoisting on overtime to stock floors. Pallets? Pallets fit on hoist?,General
Pre-Award,04 22 00 Concrete Unit Masonry,How high of lifts for core filling?,General
Pre-Award,04 22 00 Concrete Unit Masonry,How many days from awarded contract to rebar delivery?,General
Pre-Award,04 22 00 Concrete Unit Masonry,How many forklifts do you have figured?,General
Pre-Award,04 22 00 Concrete Unit Masonry,How many units/man/day do you have figured?,General
Pre-Award,04 22 00 Concrete Unit Masonry,How shipped? Truck or railroad car?,General
Pre-Award,04 22 00 Concrete Unit Masonry,"If Ryan sets H.M. Frames, mason should mortar in a unit at F.F. elevation to set frame on.",General
Pre-Award,04 22 00 Concrete Unit Masonry,"In drainage air space walls, are all joints tooled properly?",General
Pre-Award,04 22 00 Concrete Unit Masonry,Is below grade insulation included?,General
Pre-Award,04 22 00 Concrete Unit Masonry,Is type of heating equipment acceptable?,General
Pre-Award,04 22 00 Concrete Unit Masonry,"Lintels, steel & masonry up to what size, pre-cast or cast-in place concrete lintels, who finishes? Unloads? Distributes?",General
Pre-Award,04 22 00 Concrete Unit Masonry,Location and spacing of ties and reinforcing.,General
Pre-Award,04 22 00 Concrete Unit Masonry,Material lead and special requirements.,General
Pre-Award,04 22 00 Concrete Unit Masonry,No on-site burning.,General
Pre-Award,04 22 00 Concrete Unit Masonry,"Payment for fabricated material at plant, inspection, Bill of Sale, insurance.",General
Pre-Award,04 22 00 Concrete Unit Masonry,Payment when panels accepted in the field.,General
Pre-Award,04 22 00 Concrete Unit Masonry,Proper bond laid out and kept plumb and uniform.,General
Pre-Award,04 22 00 Concrete Unit Masonry,Protect others work from fork lift traffic.,General
Pre-Award,04 22 00 Concrete Unit Masonry,Provide water and ELEC if none on site.,General
Pre-Award,04 22 00 Concrete Unit Masonry,Rebar shops.,General
Pre-Award,04 22 00 Concrete Unit Masonry,Rebar.,General
Pre-Award,04 22 00 Concrete Unit Masonry,"Refer to General Scope Considerations: All CSI Divisions, Page III-1, Section A.",General
Pre-Award,04 22 00 Concrete Unit Masonry,Refer to related Project Specifications Section and Ryan Subcontractor Agreement.,General
Pre-Award,04 22 00 Concrete Unit Masonry,Scaffolding / Equipment and coordinating with other trades.,General
Pre-Award,04 22 00 Concrete Unit Masonry,Sealers (none to be used on surfaces which receive caulking or sealants).,General
Pre-Award,04 22 00 Concrete Unit Masonry,Sequencing – coordinate with all subcontractors.,General
Pre-Award,04 22 00 Concrete Unit Masonry,"Set built-in items of miscellaneous iron, set isolated stone.",General
Pre-Award,04 22 00 Concrete Unit Masonry,"Slots, chases, recesses or masonry openings laid out and proper lintels provided.",General
Pre-Award,04 22 00 Concrete Unit Masonry,Some or all of the items on this checklist should be incorporated into Exhibit A of the Subcontract.,General
Pre-Award,04 22 00 Concrete Unit Masonry,"Specification mix, mega mix, site mix, grout. Mortar and grout per spec. and submittal approval.",General
Pre-Award,04 22 00 Concrete Unit Masonry,Stairwell inserts.,General
Pre-Award,04 22 00 Concrete Unit Masonry,Striking joints. Type.,General
Pre-Award,04 22 00 Concrete Unit Masonry,Tool Jts. – finished product.,General
Pre-Award,04 22 00 Concrete Unit Masonry,Unit prices for replacement.,General
Pre-Award,04 22 00 Concrete Unit Masonry,"Unload hauling (if required), and set cut or cast stone furnished by Ryan.",General
Pre-Award,04 22 00 Concrete Unit Masonry,Water of fresh potable domestic quality mixed to produce plastic homogenous mortar.,General
Pre-Award,04 22 00 Concrete Unit Masonry,Weeps and nervous trowel at all head conditions (even if not clearly specified).,General
Pre-Award,04 22 00 Concrete Unit Masonry,What is acceptable for chipped block?,General
Pre-Award,04 22 00 Concrete Unit Masonry,Who installs flashings?,General
Pre-Award,04 22 00 Concrete Unit Masonry,Who patches lifting eye holes? Also for pre-cast?,General
Pre-Award,04 22 00 Concrete Unit Masonry,Who provides reinforcing?,General
Pre-Award,04 22 00 Concrete Unit Masonry,Who sets A.B. in block and supplies?,General
Pre-Award,04 22 00 Concrete Unit Masonry,Who sets door frames?,General
Pre-Award,04 22 00 Concrete Unit Masonry,Will you be pumping grout?,General
Pre-Award,04 22 00 Concrete Unit Masonry,Will you work laborers over time at no charge moving (enclosing scaffolding to keep the maximum mason crew steady?),General
Pre-Award,04 22 00 Concrete Unit Masonry,Winter weather protection and heat – who provides? Who encloses scaffold with canvas?,General
Pre-Award,04 40 00 Stone,,General
Pre-Award,04 40 00 Stone,Alternate prices on different finishes.,General
Pre-Award,04 40 00 Stone,Anchorage requirements and devices.,General
Pre-Award,04 40 00 Stone,"Anchors, relieving joints and mortar.",General
Pre-Award,04 40 00 Stone,Availability of foreign granites.,General
Pre-Award,04 40 00 Stone,Caulking of stone – Non-staining primer?,General
Pre-Award,04 40 00 Stone,Cavity or full parge and backup. Waterproof back of stone.,General
Pre-Award,04 40 00 Stone,Characteristics of stone – color - absorption – staining.,General
Pre-Award,04 40 00 Stone,Coordination with other affected trades.,General
Pre-Award,04 40 00 Stone,Damage claim responsibility.,General
Pre-Award,04 40 00 Stone,Grain of stone?,General
Pre-Award,04 40 00 Stone,"Has stone been quarried and can fabrication proceed during winter months, will setting be sublet; number of derricks and gangs to be used.",General
Pre-Award,04 40 00 Stone,Inspection and approval of existing surfaces.,General
Pre-Award,04 40 00 Stone,Installation and fabrication tolerances.,General
Pre-Award,04 40 00 Stone,"Local shop or direct mill shipments. Rail or truck, (truck preferred). If purchase order, state freight separately.",General
Pre-Award,04 40 00 Stone,Matching granite – sample selections and approval.,General
Pre-Award,04 40 00 Stone,Methods of handling to prevent damage; suitability of patching.,General
Pre-Award,04 40 00 Stone,Mortar requirements.,General
Pre-Award,04 40 00 Stone,Painting and sealing procedures.,General
Pre-Award,04 40 00 Stone,"Protection – wood at corners, sills, etc. Weather protection at top of walls each night. Also, for brick and block.",General
Pre-Award,04 40 00 Stone,"Refer to General Scope Considerations: All CSI Divisions, Page III-1, Section A.",General
Pre-Award,04 40 00 Stone,Refer to related Project Specifications Section and Ryan Subcontractor Agreement.,General
Pre-Award,04 40 00 Stone,"Setting conditions to avoid staining of granite base courses; prevention granite staining or damp spotting, parging, cavity type-wall.",General
Pre-Award,04 40 00 Stone,Some or all of the items on this checklist should be incorporated into Exhibit A of the Subcontract.,General
Pre-Award,04 40 00 Stone,Staining granites base courses – due to expansion joint used?,General
Pre-Award,04 40 00 Stone,Subcontractor to do required stone cutting and fitting because of minor job discrepancies.,General
Pre-Award,04 40 00 Stone,"Unit price for work left out for General Contractor access to building. No charge for work subcontractor leaves out. Comeback charges
– interferences, delays.",General
Pre-Award,04 40 00 Stone,Will thicker stone (3”) be used instead of 2” without price increase?,General
Pre-Award,05 10 00 Structural Steel,Adjustment and tolerance of hung lintels distribute loose lintels.,General
Pre-Award,05 10 00 Structural Steel,"Check overlapping and duplication, i.e. does structural steel subcontractor include channel doors, frames, railings, checkered floor plates, door guards or ladders?",General
Pre-Award,05 10 00 Structural Steel,"Condition of drawings, i.e. in sufficient detail for mill orders?",General
Pre-Award,05 10 00 Structural Steel,Define sequence.,General
Pre-Award,05 10 00 Structural Steel,Develop method of documenting and processing fabrication and detailing errors.,General
Pre-Award,05 10 00 Structural Steel,Effect of different decks on spray-on fire proofing.,General
Pre-Award,05 10 00 Structural Steel,"Equipment—extra cranes available for unloading from cars. Hoist for other trades—rate, conditions (i.e. straight time, over-time, etc.)",General
Pre-Award,05 10 00 Structural Steel,Establish overtime rates for ironworkers and crane operators.,General
Pre-Award,05 10 00 Structural Steel,"Field, painting, extent – full coat or touch-up of rivets, bolts, welds, etc., or both?",General
Pre-Award,05 10 00 Structural Steel,"Hoisting, erection by steel subcontractor to save planking. Size of bundles if hoist by others.",General
Pre-Award,05 10 00 Structural Steel,Ironworkers or sheet metal installing the decking.,General
Pre-Award,05 10 00 Structural Steel,Job to be erected from inside or outside building?,General
Pre-Award,05 10 00 Structural Steel,Material delivery schedule and erection sequence.,General
Pre-Award,05 10 00 Structural Steel,Multi-level access.,General
Pre-Award,05 10 00 Structural Steel,Power for welding available.,General
Pre-Award,05 10 00 Structural Steel,Pre-drilled angles for bolted blocking.,General
Pre-Award,05 10 00 Structural Steel,Preset inserts and deck claimed by electricians. Review all components on electrified deck.,General
Pre-Award,05 10 00 Structural Steel,"Refer to General Scope Considerations: All CSI Divisions, Page III-1, Section A.",General
Pre-Award,05 10 00 Structural Steel,Refer to related Project Specifications Section and Ryan Subcontractor Agreement.,General
Pre-Award,05 10 00 Structural Steel,Roof framing placement.,General
Pre-Award,05 10 00 Structural Steel,"Safety cables, nets, etc.",General
Pre-Award,05 10 00 Structural Steel,Schedule. What is the most efficient sequence of setting building?,General
Pre-Award,05 10 00 Structural Steel,"Setting of bearing plates, base plates and grillage. Early delivery bolts and base plates.",General
Pre-Award,05 10 00 Structural Steel,"Shear studs, power required or generator.",General
Pre-Award,05 10 00 Structural Steel,Shop fabrication of lintels and braces rather than stock length.,General
Pre-Award,05 10 00 Structural Steel,Some or all of the items on this checklist should be incorporated into Exhibit A of the Subcontract.,General
Pre-Award,05 10 00 Structural Steel,"Time for shop drawings, fabrication, delivery, erection.",General
Pre-Award,05 10 00 Structural Steel,Uncover old work for measurements.,General
Pre-Award,05 10 00 Structural Steel,Unit prices for changes.,General
Pre-Award,05 10 00 Structural Steel,Verification of corrugated metal deck free spans.,General
Pre-Award,05 10 00 Structural Steel,"Walk through process per schedule and try to determine when safety measures will be needed and who will install (possibly reinstall), supply and remove safety equipment.",General
Pre-Award,05 10 00 Structural Steel,Welding washers supplied.,General
Pre-Award,05 10 00 Structural Steel,Who unloads?,General
Pre-Award,05 10 00 Structural Steel,Will erection be continuous or several separate operations?,General
Pre-Award,05 50 00 Metal Fabrication,,General
Pre-Award,05 50 00 Metal Fabrication,"All miscellaneous items: ships ladders, angles, grates, elevator sill, etc.",General
Pre-Award,05 50 00 Metal Fabrication,Concrete coring & patching with suitable material.,General
Pre-Award,05 50 00 Metal Fabrication,Coordinate stairs to fit or be as-built to landings.,General
Pre-Award,05 50 00 Metal Fabrication,Divider Beams.,General
Pre-Award,05 50 00 Metal Fabrication,Elevator hoist beams.,General
Pre-Award,05 50 00 Metal Fabrication,Elevator pit trench grate.,General
Pre-Award,05 50 00 Metal Fabrication,Handrail sealant / caulking?,General
Pre-Award,05 50 00 Metal Fabrication,Handrails – embeds? Connections?,General
Pre-Award,05 50 00 Metal Fabrication,Hoisting.,General
Pre-Award,05 50 00 Metal Fabrication,"Metal shroud at fireplace, linen chute, kitchen exhaust fan.",General
Pre-Award,05 50 00 Metal Fabrication,Pool sump trench grate.,General
Pre-Award,05 50 00 Metal Fabrication,"Railings per city - roof hatch railing is always wrong - sort out at pre-con - even if drawings are approved I think superintendent needs to verify everything will work with hatch, city, etc.",General
Pre-Award,05 50 00 Metal Fabrication,"Refer to General Scope Considerations: All CSI Divisions, Page III-1, Section A.",General
Pre-Award,05 50 00 Metal Fabrication,Refer to related Project Specifications Section and Ryan Subcontractor Agreement.,General
Pre-Award,05 50 00 Metal Fabrication,Shop drawings.,General
Pre-Award,05 50 00 Metal Fabrication,Some or all of the items on this checklist should be incorporated into Exhibit A of the Subcontract.,General
Pre-Award,05 50 00 Metal Fabrication,Trash enclosure / bollards.,General
Pre-Award,05 50 00 Metal Fabrication,Washer trench grate.,General
Pre-Award,06 10 00 Rough Carpentry,,General
Pre-Award,06 10 00 Rough Carpentry,All blocking 100% in wood walls.,General
Pre-Award,06 10 00 Rough Carpentry,All loose lumber.,General
Pre-Award,06 10 00 Rough Carpentry,Blocking requirements and locations.,General
Pre-Award,06 10 00 Rough Carpentry,Bottom plate anchorage requirements.,General
Pre-Award,06 10 00 Rough Carpentry,Clean up and disposal.,General
Pre-Award,06 10 00 Rough Carpentry,"Equipment, forklift, crane.",General
Pre-Award,06 10 00 Rough Carpentry,Exterior gyp-board sheathing.,General
Pre-Award,06 10 00 Rough Carpentry,"Exterior windows, doors, installation.",General
Pre-Award,06 10 00 Rough Carpentry,"Fasteners, nails, glue, hangers.",General
Pre-Award,06 10 00 Rough Carpentry,Furring and framing requirements and locations.,General
Pre-Award,06 10 00 Rough Carpentry,Heavy timber requirements.,General
Pre-Award,06 10 00 Rough Carpentry,Hold down straps.,General
Pre-Award,06 10 00 Rough Carpentry,"Hollow metal door and frame, window and borrow light requirements.",General
Pre-Award,06 10 00 Rough Carpentry,Hurricane straps.,General
Pre-Award,06 10 00 Rough Carpentry,Install anchor bolts in Crete for interior walls (red heads &/or Epoxy),General
Pre-Award,06 10 00 Rough Carpentry,Install laundry chutes.,General
Pre-Award,06 10 00 Rough Carpentry,Panelize walls (credit)?,General
Pre-Award,06 10 00 Rough Carpentry,"Refer to General Scope Considerations: All CSI Divisions, Page III-1, Section A.",General
Pre-Award,06 10 00 Rough Carpentry,Refer to related Project Specifications Section and Ryan Subcontract Agreement.,General
Pre-Award,06 10 00 Rough Carpentry,Roof felt.,General
Pre-Award,06 10 00 Rough Carpentry,"Roofing features, chimneys, etc.",General
Pre-Award,06 10 00 Rough Carpentry,"Schedule, manpower.",General
Pre-Award,06 10 00 Rough Carpentry,Seal sealer.,General
Pre-Award,06 10 00 Rough Carpentry,"Shearwalls, very important (brackets and anchor bolts).",General
Pre-Award,06 10 00 Rough Carpentry,Sheeting requirements and locations for Subcontractor and finish work.,General
Pre-Award,06 10 00 Rough Carpentry,Simpson anchors.,General
Pre-Award,06 10 00 Rough Carpentry,Soffits trim fascia.,General
Pre-Award,06 10 00 Rough Carpentry,Some or all of the items on this checklist should be incorporated into Exhibit A of the Subcontract.,General
Pre-Award,06 10 00 Rough Carpentry,Trash enclosures.,General
Pre-Award,06 10 00 Rough Carpentry,Will non-com or metal backing be provided?,General
Pre-Award,06 20 00 Carpentry and Millwork,All mirrored doors & wood bi-fold.,General
Pre-Award,06 20 00 Carpentry and Millwork,Are linoleum or Formica tops for counters included? Templates for cutouts in counter tops.,General
Pre-Award,06 20 00 Carpentry and Millwork,"Cases, counters, etc., to be assembled in shop as far as possible.",General
Pre-Award,06 20 00 Carpentry and Millwork,Ceiling access hatches.,General
Pre-Award,06 20 00 Carpentry and Millwork,Corner guards.,General
Pre-Award,06 20 00 Carpentry and Millwork,Deposit key cabinet.,General
Pre-Award,06 20 00 Carpentry and Millwork,Door clearance on carpeted rooms.,General
Pre-Award,06 20 00 Carpentry and Millwork,Doors pre-machined for hardware?,General
Pre-Award,06 20 00 Carpentry and Millwork,Excluding storefront door & hardware.,General
Pre-Award,06 20 00 Carpentry and Millwork,Field cutting / drilling as required.,General
Pre-Award,06 20 00 Carpentry and Millwork,"Fire extinguishers, (cabinets and wall hung units)",General
Pre-Award,06 20 00 Carpentry and Millwork,Framing for vanity tops.,General
Pre-Award,06 20 00 Carpentry and Millwork,Guest room closet shelving (wire/wood),General
Pre-Award,06 20 00 Carpentry and Millwork,Hang & swing doors (excluding won door & hardware),General
Pre-Award,06 20 00 Carpentry and Millwork,Install cabinets.,General
Pre-Award,06 20 00 Carpentry and Millwork,Installation of all hardware 100% (except tesa lock systems).,General
Pre-Award,06 20 00 Carpentry and Millwork,Light valances & egg crate lenses.,General
Pre-Award,06 20 00 Carpentry and Millwork,ll door frame (including won door frame),General
Pre-Award,06 20 00 Carpentry and Millwork,Lockers.,General
Pre-Award,06 20 00 Carpentry and Millwork,"Louvers (architectural at windows, etc.)",General
Pre-Award,06 20 00 Carpentry and Millwork,Mounting of Gerber bowls.,General
Pre-Award,06 20 00 Carpentry and Millwork,Priming at mill and back-painting by whom?,General
Pre-Award,06 20 00 Carpentry and Millwork,"Refer to General Scope Considerations: All CSI Divisions, Page III-1, Section A.",General
Pre-Award,06 20 00 Carpentry and Millwork,Refer to related Project Specifications Section and Ryan Subcontract Agreement.,General
Pre-Award,06 20 00 Carpentry and Millwork,"Responsible for receiving, inventory, unloading and storage & distribute of all materials.",General
Pre-Award,06 20 00 Carpentry and Millwork,Soap dishes.,General
Pre-Award,06 20 00 Carpentry and Millwork,Some or all of the items on this checklist should be incorporated into Exhibit A of the Subcontract.,General
Pre-Award,06 20 00 Carpentry and Millwork,"Stair treads - finishing rough framing stairs & treads, etc.",General
Pre-Award,06 20 00 Carpentry and Millwork,Supply all caulking material for the above items.,General
Pre-Award,06 20 00 Carpentry and Millwork,"Supply all fasteners, glue and any other miscellaneous materials required to install above items.",General
Pre-Award,06 20 00 Carpentry and Millwork,Synthetic marble,General
Pre-Award,06 20 00 Carpentry and Millwork,Toilet accessories 100%.,General
Pre-Award,06 20 00 Carpentry and Millwork,Toilet partitions.,General
Pre-Award,06 20 00 Carpentry and Millwork,Trash enclosure wood.,General
Pre-Award,06 20 00 Carpentry and Millwork,"Trim to be mitered, glued and splined.",General
Pre-Award,06 20 00 Carpentry and Millwork,Tub surrounds.,General
Pre-Award,06 20 00 Carpentry and Millwork,"Upholstery, glass, metal trim, cloth, etc.",General
Pre-Award,06 20 00 Carpentry and Millwork,Vanity tops and skirts.,General
Pre-Award,06 20 00 Carpentry and Millwork,Who furnishes louvers in doors?,General
Pre-Award,06 20 00 Carpentry and Millwork,"Who provided cabinet and other hardware, miscellaneous anchors, brackets?",General
Pre-Award,06 20 00 Carpentry and Millwork,Windowsills.,General
Pre-Award,06 40 00 Architectural Woodwork,Delivery to dock includes unloading on-site.,General
Pre-Award,06 40 00 Architectural Woodwork,How capable is the shop to manufacture the specified product?,General
Pre-Award,06 40 00 Architectural Woodwork,Refer to related Project Specifications Section.,General
Pre-Award,06 40 00 Architectural Woodwork,Schedule.,General
Pre-Award,06 40 00 Architectural Woodwork,Shop drawings.,General
Pre-Award,06 40 00 Architectural Woodwork,What is the current job load on the shop and can they meet the deadlines with the material lead times?,General
Pre-Award,06 40 00 Architectural Woodwork,Will shop make one day turn around on items manufactured incorrectly?,General
Pre-Award,06 40 00 Architectural Woodwork,Will shop make schedule exceptions by pre-empting orders to accommodate change orders so that Ryan schedule can be maintained?,General
Pre-Award,07 10 00 Dampproofing & Waterproofing,Control and expansion joints.,General
Pre-Award,07 10 00 Dampproofing & Waterproofing,Correct seal made where penetration occurs.,General
Pre-Award,07 10 00 Dampproofing & Waterproofing,Dissimilar materials not in contact.,General
Pre-Award,07 10 00 Dampproofing & Waterproofing,Fire prevention for volatile mixtures.,General
Pre-Award,07 10 00 Dampproofing & Waterproofing,Foundation waterproofing and insulation. Coordinate with other trades if provided by others.,General
Pre-Award,07 10 00 Dampproofing & Waterproofing,Insulation installed before other work that might prevent access.,General
Pre-Award,07 10 00 Dampproofing & Waterproofing,"Refer to General Scope Considerations: All CSI Divisions, Page III-1, Section A.",General
Pre-Award,07 10 00 Dampproofing & Waterproofing,Refer to related Project Specifications Section and Ryan Subcontractor Agreement.,General
Pre-Award,07 10 00 Dampproofing & Waterproofing,Some or all of the items on this checklist should be incorporated into Exhibit A of the Subcontract.,General
Pre-Award,07 10 00 Dampproofing & Waterproofing,Submittal and approval of fastening devices.,General
Pre-Award,07 10 00 Dampproofing & Waterproofing,Verification of foam pressure and ability of structure to accept it.,General
Pre-Award,07 24 00 EIFS,"Refer to related Project Specifications Section, Ryan Subcontract and Exhibit A of the Subcontract.",General
Pre-Award,07 24 00 EIFS,Verify conformance of details,General
Pre-Award,07 24 00 EIFS,Verify location of vapor retarder (if needed),General
Pre-Award,07 24 00 EIFS,Verify sequencing of work,General
Pre-Award,07 50 00 Roofing System,Flashing color samples.,General
Pre-Award,07 50 00 Roofing System,Flashing or reglets.,General
Pre-Award,07 50 00 Roofing System,Protect adjacent work.,General
Pre-Award,07 50 00 Roofing System,"Refer to General Scope Considerations: All CSI Divisions, Page III-1, Section A.",General
Pre-Award,07 50 00 Roofing System,Refer to related Project Specifications Section and Ryan Subcontractor Agreement.,General
Pre-Award,07 50 00 Roofing System,Schedule.,General
Pre-Award,07 50 00 Roofing System,Snow removal.,General
Pre-Award,07 50 00 Roofing System,Some or all of the items on this checklist should be incorporated into Exhibit A of the Subcontract.,General
Pre-Award,07 50 00 Roofing System,What so downspouts don’t create landscape problems?,General
Pre-Award,07 90 00 Joint Sealers,,General
Pre-Award,07 90 00 Joint Sealers,Acceptance of size of joints as built.,General
Pre-Award,07 90 00 Joint Sealers,"Can you negotiate with window and panel man to use same subcontractor and, if not, make sure you have compatibility meeting between caulking subcontractors of respective subcontractors?",General
Pre-Award,07 90 00 Joint Sealers,Color samples.,General
Pre-Award,07 90 00 Joint Sealers,Emphasize proper mixing of two part materials.,General
Pre-Award,07 90 00 Joint Sealers,Guarantees and bonds required?,General
Pre-Award,07 90 00 Joint Sealers,Hand gun or pneumatic gun.,General
Pre-Award,07 90 00 Joint Sealers,Question all products and substitutions and have owner and architect approve and be aware of product will react short and long term.,General
Pre-Award,07 90 00 Joint Sealers,"Refer to General Scope Considerations: All CSI Divisions, Page III-1, Section A.",General
Pre-Award,07 90 00 Joint Sealers,Refer to related Project Specifications Section and Ryan Subcontractor Agreement.,General
Pre-Award,07 90 00 Joint Sealers,Scaffold for self – or use others?,General
Pre-Award,07 90 00 Joint Sealers,Sizes of joints – who cleans joint prior to caulking?,General
Pre-Award,07 90 00 Joint Sealers,Some or all of the items on this checklist should be incorporated into Exhibit A of the Subcontract.,General
Pre-Award,08 11 00 Steel Doors and Frames,Are metal spreaders included?,General
Pre-Award,08 11 00 Steel Doors and Frames,"Buy hollow metal work, door and frame complete with hardware on rush jobs.",General
Pre-Award,08 11 00 Steel Doors and Frames,Check difference between drawings and specifications and manufacturer’s own design.,General
Pre-Award,08 11 00 Steel Doors and Frames,Coordinate with 08710 for all door preparation.,General
Pre-Award,08 11 00 Steel Doors and Frames,Cover drilling and tapping and application of hardware.,General
Pre-Award,08 11 00 Steel Doors and Frames,Drip caps on all exterior doors.,General
Pre-Award,08 11 00 Steel Doors and Frames,"Get supplier to make delivery commitment on early requirements, small orders and late changes.",General
Pre-Award,08 11 00 Steel Doors and Frames,Installation by carpenters or masons to be guaranteed true to accommodate door fitting later.,General
Pre-Award,08 11 00 Steel Doors and Frames,Number of deliveries?,General
Pre-Award,08 11 00 Steel Doors and Frames,"Refer to General Scope Considerations: All CSI Divisions, Page III-1, Section A.",General
Pre-Award,08 11 00 Steel Doors and Frames,Refer to related Project Specifications Section and Ryan Subcontractor Agreement.,General
Pre-Award,08 11 00 Steel Doors and Frames,Some or all of the items in this checklist should be incorporated into Exhibit A of the Subcontract.,General
Pre-Award,08 11 00 Steel Doors and Frames,UL labels should not be primed or painted.,General
Pre-Award,08 11 00 Steel Doors and Frames,Unit prices apply on changes before manufacturing begins.,General
Pre-Award,08 14 00 Wood Doors and Frames,Delivery on schedule.,General
Pre-Award,08 14 00 Wood Doors and Frames,Electric of pneumatic door operations.,General
Pre-Award,08 14 00 Wood Doors and Frames,Embedded support requirements.,General
Pre-Award,08 14 00 Wood Doors and Frames,Finish requirements.,General
Pre-Award,08 14 00 Wood Doors and Frames,Get sample piece for approval and put on finish board.,General
Pre-Award,08 14 00 Wood Doors and Frames,Hardware requirements.,General
Pre-Award,08 14 00 Wood Doors and Frames,Have sub accept and unload.,General
Pre-Award,08 14 00 Wood Doors and Frames,Plain sliced or rotary.,General
Pre-Award,08 14 00 Wood Doors and Frames,"Refer to General Scope Considerations: All CSI Divisions, Page III-1, Section A.",General
Pre-Award,08 14 00 Wood Doors and Frames,Refer to related Project Specifications Section and Ryan Subcontractor Agreement.,General
Pre-Award,08 14 00 Wood Doors and Frames,Rough openings.,General
Pre-Award,08 14 00 Wood Doors and Frames,Some or all of the items in this checklist should be incorporated into Exhibit A of the Subcontract.,General
Pre-Award,08 14 00 Wood Doors and Frames,Track requirements.,General
Pre-Award,08 36 00 Sectional Overhead Doors,Are installers union?,General
Pre-Award,08 36 00 Sectional Overhead Doors,"Get complete shops and make sure adequate support is there, i.e. arch showing overhead or roll-up on sheetrock wall.",General
Pre-Award,08 36 00 Sectional Overhead Doors,"Refer to General Scope Considerations: All CSI Divisions, Page III-1, Section A.",General
Pre-Award,08 36 00 Sectional Overhead Doors,Refer to related Project Specifications Section and Ryan Subcontractor Agreement.,General
Pre-Award,08 36 00 Sectional Overhead Doors,Some or all of the items in this checklist should be incorporated into Exhibit A of the Subcontract.,General
Pre-Award,08 36 00 Sectional Overhead Doors,What size track?,General
Pre-Award,08 36 00 Sectional Overhead Doors,"Who supplies and installs mounting brackets or “bucks”, and what are the location specifications?",General
Pre-Award,08 71 00 Finish Door Hardware,Butts per pair or set?,General
Pre-Award,08 71 00 Finish Door Hardware,Construction master key.,General
Pre-Award,08 71 00 Finish Door Hardware,Delivered materials immediately checked against hardware schedule.,General
Pre-Award,08 71 00 Finish Door Hardware,Delivery – single shipment.,General
Pre-Award,08 71 00 Finish Door Hardware,Key box including set up.,General
Pre-Award,08 71 00 Finish Door Hardware,Keying schedule.,General
Pre-Award,08 71 00 Finish Door Hardware,Knock down or welded hollow metal frames.,General
Pre-Award,08 71 00 Finish Door Hardware,Knox box.,General
Pre-Award,08 71 00 Finish Door Hardware,Locations and dimensions coordinated with installer.,General
Pre-Award,08 71 00 Finish Door Hardware,Master keys directly to owner.,General
Pre-Award,08 71 00 Finish Door Hardware,Pre-hung doors and frames.,General
Pre-Award,08 71 00 Finish Door Hardware,Receipt by door and frame Manufacturer of all hardware templates after approval.,General
Pre-Award,08 71 00 Finish Door Hardware,"Refer to General Scope Considerations: All CSI Divisions, Page III-1, Section A.",General
Pre-Award,08 71 00 Finish Door Hardware,Refer to related Project Specifications Section and Ryan Subcontractor Agreement.,General
Pre-Award,08 71 00 Finish Door Hardware,"Rolling steel – if specified manual operation, check whether pushup chain, or crank, and from which side of opening door is to be operated. Adequate steel to be built into jambs or head to support track and motor. If motor-operated, check extent of electric work by door subcontractor, labels.",General
Pre-Award,08 71 00 Finish Door Hardware,Set up a subcontract on large jobs with field representative to check in shipments and checkout to subcontractors.,General
Pre-Award,08 71 00 Finish Door Hardware,Shipping materials in a complete manner,General
Pre-Award,08 71 00 Finish Door Hardware,Some or all of the items in this checklist should be incorporated into Exhibit A of the Subcontract.,General
Pre-Award,08 71 00 Finish Door Hardware,Sub must supply competent labor for installation to meet Ryan quality standards.,General
Pre-Award,08 71 00 Finish Door Hardware,"Wood overhead, check hangers for overhead track, glazing, priming. Proper size of track.",General
Pre-Award,08 81 00 Glass and Glazing,(Sizes) cut to fit – different sizes? (tight to walls),General
Pre-Award,08 81 00 Glass and Glazing,Adjustments.,General
Pre-Award,08 81 00 Glass and Glazing,Bar glass shelves.,General
Pre-Award,08 81 00 Glass and Glazing,Cooperation in closing in of building.,General
Pre-Award,08 81 00 Glass and Glazing,Draft curtain glass at kitchen.,General
Pre-Award,08 81 00 Glass and Glazing,Establish responsibility for breakage of large lights at once!,General
Pre-Award,08 81 00 Glass and Glazing,Factory assembled windows and frames. Lubricate gaskets at factory?,General
Pre-Award,08 81 00 Glass and Glazing,"Gaskets, lubricant, availability, splices, use in winter.",General
